"","x","y"
"1",87.4068121192977,5
"2",41.8953329091892,10
"3",45.5237184651196,13
"4",30.6749028852209,9
"5",20.7630110206082,10
"6",17.1437674667686,11
"7",5.94865689054132,9
"8",19.5469227619469,8
"9",66.0901548806578,8
"10",91.981262085028,14
"11",4.21264965552837,10
"12",92.7983322413638,10
"13",84.9932187469676,8
"14",50.247229449451,9
"15",29.0167375234887,8
"16",97.0595497405156,10
"17",30.1545930327848,11
"18",10.5553795816377,13
"19",95.7747337408364,7
"20",23.1927854008973,12
"21",93.5218492755666,13
"22",26.2782538542524,4
"23",47.2091066883877,10
"24",89.8764471290633,17
"25",51.8222121987492,14
"26",20.2471775235608,7
"27",4.25491447094828,12
"28",18.1678837398067,17
"29",80.9930580668151,13
"30",61.6987423738465,15
"31",64.8755250498652,5
"32",36.5214414894581,11
"33",39.6770104533061,2
"34",63.5092268697917,16
"35",81.4032595371827,11
"36",52.5352767668664,10
"37",54.0165012003854,9
"38",87.4577629845589,14
"39",44.9928784510121,9
"40",42.1030787052587,10
"41",83.0125456675887,6
"42",95.612327218987,11
"43",80.5118174524978,6
"44",63.9078686246648,12
"45",63.8800545828417,10
"46",53.5714780678973,9
"47",93.0913322139531,11
"48",71.600344707258,7
"49",7.24722247105092,10
"50",15.8337017055601,9
"51",49.5017873356119,8
"52",49.7551556443796,19
"53",26.470737089403,16
"54",15.9243249334395,10
"55",54.3836869299412,12
"56",44.6477412013337,13
"57",56.3570791855454,12
"58",24.4953803252429,11
"59",80.291731772013,12
"60",83.6419689934701,8
"61",88.7027706252411,11
"62",59.9251337582245,10
"63",10.5059952009469,11
"64",4.50375175569206,13
"65",1.99800990521908,9
"66",94.3697932641953,11
"67",84.5012803561985,12
"68",70.0632060645148,8
"69",39.6709232125431,3
"70",94.0037378342822,4
"71",76.8935032887384,12
"72",18.7814330682158,4
"73",76.0339357890189,13
"74",98.0576920090243,9
"75",40.6958975829184,7
"76",22.9445142438635,11
"77",92.6300683990121,7
"78",25.9904197882861,12
"79",91.5322979679331,11
"80",47.3987253382802,12
"81",72.0339981839061,10
"82",50.4995758412406,12
"83",80.2901906659827,13
"84",86.31146538537,7
"85",1.12174965906888,13
"86",1.04824574664235,8
"87",58.0820304108784,16
"88",99.4667685125023,9
"89",46.195668890141,14
"90",24.5235943933949,17
"91",75.0224584713578,15
"92",39.2683155369014,9
"93",47.0639225561172,11
"94",83.3562830230221,10
"95",69.8110434925184,7
"96",97.6601702859625,10
"97",49.4664705125615,8
"98",88.0903179058805,12
"99",22.668964555487,10
"100",52.0920853596181,11
"101",71.4420097880065,10
"102",0.641219248063862,8
"103",19.9717208743095,13
"104",11.2617317819968,12
"105",59.9190922454,14
"106",28.1065669609234,12
"107",67.0192833058536,11
"108",7.41507632192224,11
"109",69.3921930622309,9
"110",21.5260909637436,13
"111",13.0567363463342,10
"112",26.9045871216804,10
"113",3.34710204042494,12
"114",26.3579725753516,7
"115",25.6568518700078,14
"116",94.9495180277154,8
"117",73.0273524532095,12
"118",34.0553763322532,9
"119",84.4268653076142,15
"120",56.1275318730623,10
"121",8.96653917152435,12
"122",35.8315035235137,9
"123",29.7088376013562,10
"124",62.0004132855684,7
"125",6.8094639107585,9
"126",47.3074676003307,11
"127",92.617586790584,7
"128",0.0542738940566778,12
"129",10.6720014242455,14
"130",79.4336319668218,9
"131",56.3238755101338,5
"132",34.2841811710969,13
"133",35.5846486287192,10
"134",70.7024778937921,10
"135",56.5628201700747,8
"136",0.202513532713056,9
"137",94.1168564837426,9
"138",14.2053259303793,10
"139",19.0028465818614,14
"140",5.11004906147718,8
"141",92.5839453469962,10
"142",93.698117765598,9
"143",12.4077468877658,10
"144",95.1301926514134,10
"145",69.2970091709867,9
"146",90.5910176923499,9
"147",27.0275242626667,7
"148",59.4694474944845,12
"149",98.2420377898961,16
"150",65.2773927198723,9
"151",37.8136507235467,6
"152",8.81249038502574,3
"153",14.044569642283,13
"154",88.2723301183432,12
"155",92.3226862214506,14
"156",6.22815182432532,11
"157",47.5919465068728,7
"158",12.6160520128906,16
"159",1.43394165206701,11
"160",12.3232701793313,9
"161",83.8513419264928,14
"162",88.7416675919667,7
"163",44.6465676883236,11
"164",42.7383217262104,5
"165",9.66887627728283,12
"166",18.0948466993868,8
"167",13.4084087563679,15
"168",22.900426085107,9
"169",81.8413004279137,8
"170",82.4868197320029,6
"171",79.5717118075117,6
"172",53.7494988413528,11
"173",24.5493414578959,11
"174",92.3094919417053,11
"175",53.1544537516311,7
"176",70.4304774058983,13
"177",3.98708644788712,8
"178",53.3857367932796,13
"179",80.2739621838555,7
"180",18.0756125599146,10
"181",69.2722164094448,6
"182",52.9650288634002,10
"183",12.6643582712859,9
"184",54.1503863409162,17
"185",14.4326037960127,7
"186",32.3431589873508,10
"187",13.5687824105844,9
"188",45.2266001142561,7
"189",93.1182964704931,9
"190",76.5675116097555,8
"191",37.0832613902166,10
"192",85.1349642965943,11
"193",77.4468097137287,10
"194",39.2722231335938,19
"195",22.8203014703467,8
"196",42.5832679495215,9
"197",9.59911379031837,13
"198",15.5456048902124,11
"199",42.7690778626129,10
"200",61.3692534156144,10
"201",99.7024528915063,10
"202",72.9288499802351,8
